parlimen;negeri;pemilih;pengundi;parti_bebas;parti_berjasa;parti_bersama;parti_barisan;parti_dap;parti_kita;parti_pas;parti_pcm;parti_pkr;parti_sapp;parti_star;parti_swp
P.076 - TELOK INTAN;Perak;60483;48839;279;0;0;20086;27399;0;0;0;0;0;0;0
P.077 - TANJONG MALIM;Perak;64499;53399;0;0;0;28225;0;0;0;0;23897;0;0;0
P.078 - CAMERON HIGHLANDS;Pahang;27980;22754;409;912;0;10506;10044;0;0;0;0;0;0;0
P.079 - LIPIS;Pahang;32324;27126;303;0;0;14863;0;0;11394;0;0;0;0;0
P.080 - RAUB;Pahang;54214;45059;0;0;0;20601;23415;0;0;0;0;0;0;0
P.081 - JERANTUT;Pahang;58364;49600;0;0;0;26544;0;0;22012;0;0;0;0;0
P.082 - INDERA MAHKOTA;Pahang;64219;54737;193;0;0;23061;0;0;0;0;30584;0;0;0
P.083 - KUANTAN;Pahang;56280;47858;0;0;0;21319;0;0;0;0;25834;0;0;0
P.084 - PAYA BESAR;Pahang;48067;40834;272;0;0;23747;0;0;0;0;16032;0;0;0
P.085 - PEKAN;Pahang;80260;68464;0;0;0;51278;0;0;0;0;15665;0;0;0
P.086 - MARAN;Pahang;38436;32750;0;0;0;19249;0;0;12774;0;0;0;0;0
P.087 - KUALA KRAU;Pahang;43003;37663;0;0;0;21575;0;0;15370;0;0;0;0;0
P.088 - TEMERLOH;Pahang;66105;56595;0;0;0;27197;0;0;28267;0;0;0;0;0
P.089 - BENTONG;Pahang;62266;52628;0;0;0;25947;25568;0;0;0;0;0;0;0
P.090 - BERA;Pahang;50997;42944;670;0;0;21669;0;0;0;0;19526;0;0;0
P.091 - ROMPIN;Pahang;53596;46014;0;0;0;30040;0;0;14926;0;0;0;0;0
P.092 - SABAK BERNAM;Selangor;37318;31859;0;0;0;16510;0;0;0;0;14620;0;0;0
